AAPL,96.17,20160225_114149,96.16,
F,12.2372,20160225_114149,12.11,
ARWR,3.82,20160225_114149,3.86,
BWLD,158.14,20160225_114149,159.25,
BP,28.34,20160225_114149,28.83,
WMT,67.46,20160225_114149,67.48,
TGT,77.03,20160225_114149,77.0,
AMZN,549.83,20160225_114149,555.62,
MSFT,51.05,20160225_114149,51.73,
OTIV,0.71,20160225_114149,0.71,
PXLW,1.9537,20160225_114149,2.0,
GOGO,9.8099,20160225_114149,9.75,
HPQ,10.1,20160225_114154,10.13,
VZ,51.0,20160225_114154,50.9,
HTCKF,9.9,20160225_114154,9.9,
SNE,21.11,20160225_114154,21.12,
ADBE,85.3,20160225_114154,84.76,
BAC,12.145,20160225_114154,12.14,
GPRO,11.445,20160225_114154,11.69,
FB,107.62,20160225_114154,107.09,
GOOG,698.71,20160225_114154,700.01,
AAPL,96.18,20160225_114154,96.16,
F,12.24,20160225_114154,12.11,
ARWR,3.82,20160225_114154,3.86,
BWLD,158.14,20160225_114154,159.25,
BP,28.34,20160225_114154,28.83,
WMT,67.465,20160225_114154,67.48,
TGT,77.05,20160225_114154,77.0,
AMZN,550.104,20160225_114154,555.62,
MSFT,51.05,20160225_114154,51.73,
OTIV,0.71,20160225_114154,0.71,
PXLW,1.96,20160225_114154,2.0,
GOGO,9.8099,20160225_114154,9.75,
HPQ,10.1,20160225_114159,10.13,
VZ,51.0,20160225_114159,50.9,
HTCKF,9.9,20160225_114159,9.9,
SNE,21.11,20160225_114159,21.12,
ADBE,85.3,20160225_114159,84.76,
BAC,12.141,20160225_114159,12.14,
GPRO,11.445,20160225_114159,11.69,
FB,107.61,20160225_114159,107.09,
GOOG,698.71,20160225_114159,700.01,
AAPL,96.1915,20160225_114159,96.16,
F,12.24,20160225_114159,12.11,
ARWR,3.82,20160225_114159,3.86,
BWLD,158.14,20160225_114159,159.25,
BP,28.34,20160225_114159,28.83,
WMT,67.46,20160225_114159,67.48,
TGT,77.06,20160225_114159,77.0,
AMZN,550.104,20160225_114159,555.62,
MSFT,51.06,20160225_114159,51.73,
OTIV,0.71,20160225_114159,0.71,
PXLW,1.96,20160225_114159,2.0,
GOGO,9.8025,20160225_114159,9.75,
HPQ,10.1037,20160225_114204,10.13,
VZ,51.0,20160225_114204,50.9,
HTCKF,9.9,20160225_114204,9.9,
SNE,21.11,20160225_114204,21.12,
ADBE,85.3,20160225_114204,84.76,
BAC,12.14,20160225_114204,12.14,
GPRO,11.445,20160225_114204,11.69,
FB,107.6362,20160225_114204,107.09,
GOOG,698.71,20160225_114204,700.01,
AAPL,96.2,20160225_114204,96.16,
F,12.2372,20160225_114204,12.11,
ARWR,3.82,20160225_114204,3.86,
BWLD,158.14,20160225_114204,159.25,
BP,28.34,20160225_114204,28.83,
WMT,67.46,20160225_114204,67.48,
TGT,77.06,20160225_114204,77.0,
AMZN,550.104,20160225_114204,555.62,
MSFT,51.0655,20160225_114204,51.73,
OTIV,0.71,20160225_114204,0.71,
PXLW,1.96,20160225_114204,2.0,
GOGO,9.79,20160225_114204,9.75,
HPQ,10.11,20160225_114209,10.13,
VZ,50.998,20160225_114209,50.9,
HTCKF,9.9,20160225_114209,9.9,
SNE,21.11,20160225_114209,21.12,
ADBE,85.3,20160225_114209,84.76,
BAC,12.14,20160225_114209,12.14,
GPRO,11.42,20160225_114209,11.69,
FB,107.61,20160225_114209,107.09,
GOOG,698.71,20160225_114209,700.01,
AAPL,96.1955,20160225_114209,96.16,
F,12.237,20160225_114209,12.11,
ARWR,3.82,20160225_114209,3.86,
BWLD,158.14,20160225_114209,159.25,
BP,28.34,20160225_114209,28.83,
WMT,67.4646,20160225_114209,67.48,
TGT,77.05,20160225_114209,77.0,
AMZN,549.93,20160225_114209,555.62,
MSFT,51.0679,20160225_114209,51.73,
OTIV,0.71,20160225_114209,0.71,
PXLW,1.96,20160225_114209,2.0,
GOGO,9.79,20160225_114209,9.75,
HPQ,10.1,20160225_114214,10.13,
VZ,51.0,20160225_114214,50.9,
HTCKF,9.9,20160225_114214,9.9,
SNE,21.11,20160225_114214,21.12,
ADBE,85.3,20160225_114214,84.76,
BAC,12.13,20160225_114214,12.14,
GPRO,11.41,20160225_114214,11.69,
